           x	           y	           z	          vx	          vy	          vz	           C
   0.8233908	   0.0000000	   0.0010000	   0.0000000	   0.1263431	   0.0000000	   3.1743434
   0.8234331	   0.0034982	   0.0009983	   0.0030529	   0.1260924	  -0.0001225	   3.1743434
   0.8235598	   0.0069827	   0.0009932	   0.0060866	   0.1253416	  -0.0002447	   3.1743434
   0.8237700	   0.0104394	   0.0009848	   0.0090813	   0.1240943	  -0.0003659	   3.1743434
   0.8240625	   0.0138548	   0.0009729	   0.0120182	   0.1223565	  -0.0004860	   3.1743434
   0.8244353	   0.0172152	   0.0009578	   0.0148790	   0.1201363	  -0.0006044	   3.1743434
   0.8248861	   0.0205077	   0.0009395	   0.0176457	   0.1174443	  -0.0007207	   3.1743434
   0.8254121	   0.0237191	   0.0009179	   0.0203014	   0.1142929	  -0.0008346	   3.1743434
   0.8260099	   0.0268370	   0.0008933	   0.0228300	   0.1106967	  -0.0009457	   3.1743434
   0.8266759	   0.0298493	   0.0008655	   0.0252167	   0.1066717	  -0.0010536	   3.1743434
   0.8274059	   0.0327443	   0.0008349	   0.0274475	   0.1022356	  -0.0011580	   3.1743434
   0.8281953	   0.0355110	   0.0008014	   0.0295099	   0.0974077	  -0.0012586	   3.1743434
   0.8290395	   0.0381387	   0.0007652	   0.0313927	   0.0922082	  -0.0013550	   3.1743434
   0.8299332	   0.0406174	   0.0007264	   0.0330861	   0.0866585	  -0.0014469	   3.1743434
   0.8308711	   0.0429377	   0.0006851	   0.0345817	   0.0807809	  -0.0015340	   3.1743434
   0.8318476	   0.0450910	   0.0006414	   0.0358726	   0.0745982	  -0.0016162	   3.1743434
   0.8328570	   0.0470689	   0.0005956	   0.0369534	   0.0681338	  -0.0016930	   3.1743434
   0.8338934	   0.0488642	   0.0005476	   0.0378204	   0.0614118	  -0.0017642	   3.1743434
   0.8349508	   0.0504698	   0.0004978	   0.0384712	   0.0544562	  -0.0018296	   3.1743434
   0.8360232	   0.0518799	   0.0004463	   0.0389052	   0.0472914	  -0.0018890	   3.1743434
   0.8371047	   0.0530887	   0.0003932	   0.0391233	   0.0399419	  -0.0019421	   3.1743434
   0.8381892	   0.0540917	   0.0003388	   0.0391280	   0.0324322	  -0.0019887	   3.1743434
   0.8392710	   0.0548847	   0.0002831	   0.0389234	   0.0247869	  -0.0020286	   3.1743434
   0.8403443	   0.0554642	   0.0002264	   0.0385153	   0.0170307	  -0.0020616	   3.1743434
   0.8414035	   0.0558276	   0.0001689	   0.0379109	   0.0091881	  -0.0020874	   3.1743434
   0.8424433	   0.0559728	   0.0001108	   0.0371193	   0.0012837	  -0.0021058	   3.1743434
   0.8434588	   0.0558984	   0.0000523	   0.0361509	  -0.0066576	  -0.0021167	   3.1743434
   0.8444451	   0.0556038	  -0.0000064	   0.0350176	  -0.0146108	  -0.0021198	   3.1743434
   0.8453978	   0.0550889	  -0.0000651	   0.0337330	  -0.0225506	  -0.0021149	   3.1743434
   0.8463131	   0.0543545	  -0.0001235	   0.0323120	  -0.0304513	  -0.0021018	   3.1743434
   0.8471873	   0.0534021	  -0.0001815	   0.0307707	  -0.0382868	  -0.0020803	   3.1743434
   0.8480173	   0.0522338	  -0.0002387	   0.0291266	  -0.0460301	  -0.0020503	   3.1743434
   0.8488005	   0.0508525	  -0.0002950	   0.0273978	  -0.0536534	  -0.0020115	   3.1743434
   0.8495349	   0.0492620	  -0.0003501	   0.0256037	  -0.0611281	  -0.0019639	   3.1743434
   0.8502189	   0.0474668	  -0.0004038	   0.0237636	  -0.0684244	  -0.0019072	   3.1743434
   0.8508515	   0.0454722	  -0.0004557	   0.0218973	  -0.0755114	  -0.0018414	   3.1743434
   0.8514322	   0.0432846	  -0.0005057	   0.0200243	  -0.0823569	  -0.0017665	   3.1743433
   0.8519612	   0.0409110	  -0.0005535	   0.0181634	  -0.0889275	  -0.0016825	   3.1743433
   0.8524390	   0.0383596	  -0.0005989	   0.0163322	  -0.0951884	  -0.0015893	   3.1743433
   0.8528667	   0.0356394	  -0.0006415	   0.0145465	  -0.1011043	  -0.0014873	   3.1743433
   0.8532457	   0.0327605	  -0.0006812	   0.0128200	  -0.1066387	  -0.0013766	   3.1743433
   0.8535778	   0.0297340	  -0.0007177	   0.0111637	  -0.1117551	  -0.0012575	   3.1743433
   0.8538650	   0.0265719	  -0.0007508	   0.0095851	  -0.1164172	  -0.0011305	   3.1743433
   0.8541097	   0.0232873	  -0.0007803	   0.0080883	  -0.1205896	  -0.0009962	   3.1743433
   0.8543140	   0.0198943	  -0.0008060	   0.0066734	  -0.1242385	  -0.0008551	   3.1743433
   0.8544802	   0.0164079	  -0.0008276	   0.0053366	  -0.1273326	  -0.0007082	   3.1743433
   0.8546104	   0.0128437	  -0.0008452	   0.0040700	  -0.1298442	  -0.0005562	   3.1743433
   0.8547063	   0.0092183	  -0.0008584	   0.0028623	  -0.1317496	  -0.0004002	   3.1743434
   0.8547694	   0.0055487	  -0.0008673	   0.0016990	  -0.1330305	  -0.0002413	   3.1743434
   0.8548007	   0.0018524	  -0.0008718	   0.0005634	  -0.1336742	  -0.0000806	   3.1743434
   0.8548007	  -0.0018528	  -0.0008718	  -0.0005628	  -0.1336741	   0.0000807	   3.1743434
   0.8547694	  -0.0055491	  -0.0008673	  -0.0016984	  -0.1330303	   0.0002413	   3.1743434
   0.8547063	  -0.0092187	  -0.0008584	  -0.0028617	  -0.1317493	   0.0004002	   3.1743434
   0.8546104	  -0.0128441	  -0.0008452	  -0.0040695	  -0.1298437	   0.0005562	   3.1743434
   0.8544803	  -0.0164083	  -0.0008276	  -0.0053360	  -0.1273320	   0.0007082	   3.1743434
   0.8543141	  -0.0198947	  -0.0008060	  -0.0066729	  -0.1242379	   0.0008551	   3.1743434
   0.8541098	  -0.0232877	  -0.0007803	  -0.0080878	  -0.1205890	   0.0009962	   3.1743434
   0.8538651	  -0.0265722	  -0.0007508	  -0.0095845	  -0.1164166	   0.0011305	   3.1743434
   0.8535779	  -0.0297343	  -0.0007177	  -0.0111631	  -0.1117545	   0.0012575	   3.1743434
   0.8532458	  -0.0327608	  -0.0006812	  -0.0128194	  -0.1066381	   0.0013766	   3.1743434
   0.8528669	  -0.0356397	  -0.0006415	  -0.0145458	  -0.1011037	   0.0014873	   3.1743434
   0.8524392	  -0.0383599	  -0.0005989	  -0.0163314	  -0.0951879	   0.0015894	   3.1743434
   0.8519615	  -0.0409113	  -0.0005535	  -0.0181626	  -0.0889270	   0.0016825	   3.1743434
   0.8514325	  -0.0432848	  -0.0005057	  -0.0200234	  -0.0823566	   0.0017665	   3.1743434
   0.8508518	  -0.0454724	  -0.0004557	  -0.0218963	  -0.0755111	   0.0018414	   3.1743434
   0.8502192	  -0.0474670	  -0.0004038	  -0.0237624	  -0.0684242	   0.0019072	   3.1743434
   0.8495352	  -0.0492622	  -0.0003501	  -0.0256024	  -0.0611279	   0.0019639	   3.1743434
   0.8488009	  -0.0508527	  -0.0002950	  -0.0273965	  -0.0536532	   0.0020115	   3.1743434
   0.8480177	  -0.0522339	  -0.0002387	  -0.0291251	  -0.0460299	   0.0020503	   3.1743434
   0.8471877	  -0.0534023	  -0.0001815	  -0.0307691	  -0.0382867	   0.0020803	   3.1743434
   0.8463136	  -0.0543547	  -0.0001235	  -0.0323102	  -0.0304513	   0.0021018	   3.1743434
   0.8453984	  -0.0550891	  -0.0000651	  -0.0337311	  -0.0225506	   0.0021149	   3.1743434
   0.8444457	  -0.0556040	  -0.0000064	  -0.0350156	  -0.0146108	   0.0021198	   3.1743434
   0.8434594	  -0.0558986	   0.0000523	  -0.0361487	  -0.0066577	   0.0021167	   3.1743434
   0.8424440	  -0.0559730	   0.0001108	  -0.0371170	   0.0012836	   0.0021058	   3.1743434
   0.8414043	  -0.0558278	   0.0001689	  -0.0379085	   0.0091879	   0.0020874	   3.1743434
   0.8403451	  -0.0554645	   0.0002264	  -0.0385126	   0.0170305	   0.0020616	   3.1743434
   0.8392719	  -0.0548849	   0.0002831	  -0.0389205	   0.0247867	   0.0020286	   3.1743434
   0.8381902	  -0.0540919	   0.0003388	  -0.0391249	   0.0324319	   0.0019887	   3.1743434
   0.8371058	  -0.0530890	   0.0003932	  -0.0391199	   0.0399415	   0.0019421	   3.1743434
   0.8360244	  -0.0518801	   0.0004463	  -0.0389016	   0.0472909	   0.0018890	   3.1743434
   0.8349521	  -0.0504701	   0.0004979	  -0.0384673	   0.0544556	   0.0018296	   3.1743434
   0.8338948	  -0.0488644	   0.0005477	  -0.0378162	   0.0614111	   0.0017642	   3.1743434
   0.8328585	  -0.0470692	   0.0005956	  -0.0369490	   0.0681330	   0.0016930	   3.1743434
   0.8318493	  -0.0450913	   0.0006414	  -0.0358678	   0.0745972	   0.0016161	   3.1743434
   0.8308729	  -0.0429381	   0.0006851	  -0.0345765	   0.0807798	   0.0015340	   3.1743434
   0.8299351	  -0.0406177	   0.0007264	  -0.0330805	   0.0866573	   0.0014469	   3.1743434
   0.8290416	  -0.0381390	   0.0007652	  -0.0313867	   0.0922068	   0.0013550	   3.1743434
   0.8281976	  -0.0355114	   0.0008014	  -0.0295034	   0.0974060	   0.0012586	   3.1743434
   0.8274083	  -0.0327448	   0.0008349	  -0.0274404	   0.1022337	   0.0011580	   3.1743434
   0.8266786	  -0.0298498	   0.0008656	  -0.0252091	   0.1066694	   0.0010536	   3.1743434
   0.8260128	  -0.0268376	   0.0008933	  -0.0228219	   0.1106941	   0.0009457	   3.1743434
   0.8254152	  -0.0237198	   0.0009179	  -0.0202926	   0.1142900	   0.0008346	   3.1743434
   0.8248895	  -0.0205084	   0.0009395	  -0.0176362	   0.1174409	   0.0007207	   3.1743434
   0.8244390	  -0.0172161	   0.0009578	  -0.0148687	   0.1201325	   0.0006043	   3.1743434
   0.8240665	  -0.0138557	   0.0009729	  -0.0120072	   0.1223522	   0.0004859	   3.1743434
   0.8237743	  -0.0104405	   0.0009847	  -0.0090694	   0.1240896	   0.0003659	   3.1743435
   0.8235644	  -0.0069839	   0.0009932	  -0.0060738	   0.1253364	   0.0002446	   3.1743435
   0.8234381	  -0.0034997	   0.0009983	  -0.0030392	   0.1260866	   0.0001225	   3.1743435
   0.8233962	  -0.0000016	   0.0010000	   0.0000148	   0.1263366	  -0.0000001	   3.1743435


   0.8233906	   0.0000000	   0.0020000	   0.0000000	   0.1263931	   0.0000000	   3.1743175
   0.8234329	   0.0034996	   0.0019966	   0.0030538	   0.1261424	  -0.0002450	   3.1743175
   0.8235596	   0.0069855	   0.0019864	   0.0060884	   0.1253914	  -0.0004893	   3.1743175
   0.8237699	   0.0104436	   0.0019695	   0.0090840	   0.1241437	  -0.0007318	   3.1743175
   0.8240624	   0.0138604	   0.0019459	   0.0120219	   0.1224054	  -0.0009718	   3.1743175
   0.8244354	   0.0172222	   0.0019157	   0.0148835	   0.1201845	  -0.0012086	   3.1743175
   0.8248863	   0.0205160	   0.0018790	   0.0176511	   0.1174917	  -0.0014412	   3.1743175
   0.8254125	   0.0237287	   0.0018359	   0.0203077	   0.1143394	  -0.0016690	   3.1743175
   0.8260105	   0.0268480	   0.0017865	   0.0228373	   0.1107421	  -0.0018912	   3.1743175
   0.8266767	   0.0298615	   0.0017311	   0.0252248	   0.1067159	  -0.0021070	   3.1743175
   0.8274069	   0.0327578	   0.0016698	   0.0274565	   0.1022785	  -0.0023158	   3.1743175
   0.8281966	   0.0355256	   0.0016029	   0.0295198	   0.0974491	  -0.0025169	   3.1743175
   0.8290411	   0.0381545	   0.0015304	   0.0314034	   0.0922480	  -0.0027097	   3.1743175
   0.8299351	   0.0406343	   0.0014528	   0.0330977	   0.0866965	  -0.0028935	   3.1743175
   0.8308733	   0.0429557	   0.0013702	   0.0345940	   0.0808169	  -0.0030678	   3.1743175
   0.8318502	   0.0451099	   0.0012829	   0.0358857	   0.0746321	  -0.0032321	   3.1743175
   0.8328600	   0.0470888	   0.0011912	   0.0369672	   0.0681656	  -0.0033857	   3.1743175
   0.8338968	   0.0488848	   0.0010954	   0.0378349	   0.0614412	  -0.0035281	   3.1743175
   0.8349546	   0.0504913	   0.0009958	   0.0384864	   0.0544832	  -0.0036590	   3.1743175
   0.8360275	   0.0519021	   0.0008927	   0.0389209	   0.0473157	  -0.0037778	   3.1743175
   0.8371094	   0.0531116	   0.0007865	   0.0391396	   0.0399635	  -0.0038840	   3.1743175
   0.8381944	   0.0541152	   0.0006776	   0.0391448	   0.0324510	  -0.0039772	   3.1743175
   0.8392766	   0.0549086	   0.0005663	   0.0389406	   0.0248027	  -0.0040570	   3.1743175
   0.8403504	   0.0554886	   0.0004529	   0.0385328	   0.0170434	  -0.0041230	   3.1743175
   0.8414101	   0.0558523	   0.0003379	   0.0379287	   0.0091975	  -0.0041746	   3.1743175
   0.8424505	   0.0559977	   0.0002217	   0.0371373	   0.0012899	  -0.0042115	   3.1743175
   0.8434664	   0.0559234	   0.0001047	   0.0361689	  -0.0066548	  -0.0042332	   3.1743175
   0.8444532	   0.0556288	  -0.0000127	   0.0350357	  -0.0146115	  -0.0042394	   3.1743175
   0.8454065	   0.0551138	  -0.0001301	   0.0337510	  -0.0225549	  -0.0042296	   3.1743175
   0.8463223	   0.0543793	  -0.0002470	   0.0323298	  -0.0304593	  -0.0042035	   3.1743175
   0.8471969	   0.0534266	  -0.0003629	   0.0307883	  -0.0382984	  -0.0041606	   3.1743175
   0.8480274	   0.0522578	  -0.0004773	   0.0291438	  -0.0460455	  -0.0041005	   3.1743175
   0.8488111	   0.0508761	  -0.0005899	   0.0274146	  -0.0536726	  -0.0040230	   3.1743175
   0.8495460	   0.0492850	  -0.0007001	   0.0256199	  -0.0611511	  -0.0039277	   3.1743175
   0.8502304	   0.0474891	  -0.0008074	   0.0237792	  -0.0684513	  -0.0038144	   3.1743175
   0.8508635	   0.0454937	  -0.0009113	   0.0219122	  -0.0755420	  -0.0036829	   3.1743175
   0.8514446	   0.0433052	  -0.0010113	   0.0200385	  -0.0823913	  -0.0035330	   3.1743175
