           x	           y	           z	          vx	          vy	          vz	           C	           T
   0.9877910	   0.0000000	   0.0286160	   0.0000000	   0.8829379	   0.0000000	   3.0207273	   2.0309000
   0.9881563	   0.0175019	   0.0256673	   0.0344700	   0.7985389	  -0.2714045	   3.0209047	   2.0309000
   0.9891372	   0.0322463	   0.0183688	   0.0594142	   0.6369947	  -0.4192304	   3.0208828	   2.0309000
   0.9905341	   0.0437904	   0.0091126	   0.0756374	   0.4943244	  -0.4724165	   3.0208160	   2.0309000
   0.9922042	   0.0527712	  -0.0007282	   0.0864832	   0.3867057	  -0.4827653	   3.0206693	   2.0309000
   0.9940591	   0.0598458	  -0.0105741	   0.0939767	   0.3067101	  -0.4755692	   3.0205508	   2.0309000
   0.9960447	   0.0654832	  -0.0201957	   0.0993040	   0.2457277	  -0.4614170	   3.0206180	   2.0309000
   0.9981243	   0.0700138	  -0.0294951	   0.1031791	   0.1978187	  -0.4450467	   3.0205052	   2.0309000
   1.0002707	   0.0736626	  -0.0384493	   0.1059276	   0.1589605	  -0.4282362	   3.0203587	   2.0309000
   1.0024633	   0.0765835	  -0.0470624	   0.1077699	   0.1266219	  -0.4115556	   3.0203574	   2.0309000
   1.0046868	   0.0788913	  -0.0553395	   0.1089209	   0.0992352	  -0.3954232	   3.0203667	   2.0309000
   1.0069286	   0.0806764	  -0.0632926	   0.1095204	   0.0756341	  -0.3799711	   3.0203618	   2.0309000
   1.0091781	   0.0820108	  -0.0709349	   0.1096665	   0.0549246	  -0.3652408	   3.0203264	   2.0309000
   1.0114260	   0.0829478	  -0.0782807	   0.1094155	   0.0364854	  -0.3511828	   3.0202770	   2.0309000
   1.0136646	   0.0835247	  -0.0853452	   0.1087914	   0.0199386	  -0.3376784	   3.0202646	   2.0309000
   1.0158868	   0.0837782	  -0.0921388	   0.1078521	   0.0049453	  -0.3246984	   3.0202648	   2.0309000
   1.0180869	   0.0837371	  -0.0986711	   0.1066395	  -0.0087227	  -0.3122030	   3.0202664	   2.0309000
   1.0202600	   0.0834266	  -0.1049514	   0.1051857	  -0.0212508	  -0.3001452	   3.0202672	   2.0309000
   1.0224013	   0.0828688	  -0.1109882	   0.1035180	  -0.0327988	  -0.2884808	   3.0202657	   2.0309000
   1.0245065	   0.0820836	  -0.1167893	   0.1016587	  -0.0435010	  -0.2771687	   3.0202606	   2.0309000
   1.0265717	   0.0810880	  -0.1223616	   0.0996254	  -0.0534658	  -0.2661704	   3.0202517	   2.0309000
   1.0285933	   0.0798962	  -0.1277113	   0.0974311	  -0.0627761	  -0.2554506	   3.0202402	   2.0309000
   1.0305681	   0.0785200	  -0.1328437	   0.0950838	  -0.0714890	  -0.2449768	   3.0202304	   2.0309000
   1.0324933	   0.0769693	  -0.1377637	   0.0925892	  -0.0796435	  -0.2347203	   3.0202278	   2.0309000
   1.0343659	   0.0752564	  -0.1424756	   0.0899639	  -0.0872971	  -0.2246619	   3.0202268	   2.0309000
   1.0361833	   0.0733912	  -0.1469831	   0.0872188	  -0.0944852	  -0.2147850	   3.0202263	   2.0309000
   1.0379434	   0.0713826	  -0.1512895	   0.0843631	  -0.1012372	  -0.2050732	   3.0202262	   2.0309000
   1.0396439	   0.0692393	  -0.1553981	   0.0814051	  -0.1075800	  -0.1955117	   3.0202264	   2.0309000
   1.0412829	   0.0669697	  -0.1593117	   0.0783526	  -0.1135377	  -0.1860863	   3.0202268	   2.0309000
   1.0428584	   0.0645815	  -0.1630332	   0.0752128	  -0.1191321	  -0.1767840	   3.0202270	   2.0309000
   1.0443687	   0.0620824	  -0.1665649	   0.0719922	  -0.1243826	  -0.1675929	   3.0202268	   2.0309000
   1.0458120	   0.0594794	  -0.1699093	   0.0686968	  -0.1293058	  -0.1585020	   3.0202258	   2.0309000
   1.0471869	   0.0567791	  -0.1730682	   0.0653319	  -0.1339160	  -0.1495015	   3.0202238	   2.0309000
   1.0484919	   0.0539881	  -0.1760435	   0.0619021	  -0.1382249	  -0.1405823	   3.0202209	   2.0309000
   1.0497259	   0.0511120	  -0.1788367	   0.0584114	  -0.1422417	  -0.1317368	   3.0202174	   2.0309000
   1.0508876	   0.0481566	  -0.1814493	   0.0548633	  -0.1459731	  -0.1229581	   3.0202141	   2.0309000
   1.0519761	   0.0451270	  -0.1838824	   0.0512605	  -0.1494233	  -0.1142404	   3.0202121	   2.0309000
   1.0529907	   0.0420286	  -0.1861369	   0.0476071	  -0.1525984	  -0.1055788	   3.0202117	   2.0309000
   1.0539307	   0.0388677	  -0.1882140	   0.0439090	  -0.1555077	  -0.0969682	   3.0202117	   2.0309000
   1.0547950	   0.0356494	  -0.1901147	   0.0401700	  -0.1581558	  -0.0884032	   3.0202120	   2.0309000
   1.0555827	   0.0323790	  -0.1918399	   0.0363939	  -0.1605473	  -0.0798786	   3.0202129	   2.0309000
   1.0562929	   0.0290617	  -0.1933903	   0.0325846	  -0.1626861	  -0.0713894	   3.0202143	   2.0309000
   1.0569247	   0.0257026	  -0.1947668	   0.0287458	  -0.1645756	  -0.0629308	   3.0202161	   2.0309000
   1.0574773	   0.0223068	  -0.1959698	   0.0248812	  -0.1662191	  -0.0544981	   3.0202181	   2.0309000
   1.0579503	   0.0188796	  -0.1970000	   0.0209947	  -0.1676193	  -0.0460868	   3.0202202	   2.0309000
   1.0583430	   0.0154259	  -0.1978579	   0.0170898	  -0.1687786	  -0.0376924	   3.0202221	   2.0309000
   1.0586551	   0.0119508	  -0.1985438	   0.0131703	  -0.1696988	  -0.0293108	   3.0202236	   2.0309000
   1.0588861	   0.0084595	  -0.1990580	   0.0092398	  -0.1703817	  -0.0209379	   3.0202244	   2.0309000
   1.0590359	   0.0049568	  -0.1994007	   0.0053019	  -0.1708283	  -0.0125698	   3.0202242	   2.0309000
   1.0591043	   0.0014479	  -0.1995720	   0.0013602	  -0.1710393	  -0.0042028	   3.0202230	   2.0309000
