           x	           y	           z	          vx	          vy	          vz	           C	           T
   0.8233908	   0.0000000	   0.0010000	   0.0000000	   0.1263431	   0.0000000	   3.1743434	   2.7430009
   0.8234323	   0.0034633	   0.0009983	   0.0030225	   0.1260974	  -0.0001213	   3.1743434	   2.7430009
   0.8235564	   0.0069132	   0.0009933	   0.0060262	   0.1253615	  -0.0002422	   3.1743434	   2.7430009
   0.8237625	   0.0103362	   0.0009851	   0.0089922	   0.1241389	  -0.0003623	   3.1743434	   2.7430009
   0.8240492	   0.0137191	   0.0009735	   0.0119021	   0.1224353	  -0.0004812	   3.1743434	   2.7430009
   0.8244148	   0.0170487	   0.0009587	   0.0147380	   0.1202586	  -0.0005985	   3.1743434	   2.7430009
   0.8248569	   0.0203123	   0.0009407	   0.0174826	   0.1176189	  -0.0007138	   3.1743434	   2.7430009
   0.8253729	   0.0234972	   0.0009195	   0.0201194	   0.1145282	  -0.0008267	   3.1743434	   2.7430009
   0.8259596	   0.0265913	   0.0008953	   0.0226328	   0.1110004	  -0.0009369	   3.1743434	   2.7430009
   0.8266133	   0.0295828	   0.0008682	   0.0250080	   0.1070510	  -0.0010440	   3.1743434	   2.7430009
   0.8273301	   0.0324604	   0.0008381	   0.0272318	   0.1026972	  -0.0011477	   3.1743434	   2.7430009
   0.8281057	   0.0352133	   0.0008052	   0.0292916	   0.0979574	  -0.0012477	   3.1743434	   2.7430009
   0.8289355	   0.0378310	   0.0007697	   0.0311766	   0.0928511	  -0.0013436	   3.1743434	   2.7430009
   0.8298144	   0.0403039	   0.0007316	   0.0328770	   0.0873990	  -0.0014352	   3.1743434	   2.7430009
   0.8307373	   0.0426228	   0.0006910	   0.0343845	   0.0816227	  -0.0015221	   3.1743434	   2.7430009
   0.8316989	   0.0447790	   0.0006481	   0.0356922	   0.0755441	  -0.0016042	   3.1743434	   2.7430009
   0.8326935	   0.0467645	   0.0006030	   0.0367948	   0.0691861	  -0.0016810	   3.1743434	   2.7430009
   0.8337155	   0.0485722	   0.0005559	   0.0376882	   0.0625717	  -0.0017525	   3.1743434	   2.7430009
   0.8347592	   0.0501951	   0.0005069	   0.0383700	   0.0557243	  -0.0018183	   3.1743434	   2.7430009
   0.8358186	   0.0516273	   0.0004562	   0.0388394	   0.0486677	  -0.0018782	   3.1743434	   2.7430009
   0.8368880	   0.0528633	   0.0004040	   0.0390968	   0.0414254	  -0.0019320	   3.1743434	   2.7430009
   0.8379615	   0.0538984	   0.0003503	   0.0391445	   0.0340213	  -0.0019795	   3.1743434	   2.7430009
   0.8390335	   0.0547284	   0.0002954	   0.0389861	   0.0264793	  -0.0020204	   3.1743434	   2.7430009
   0.8400984	   0.0553500	   0.0002395	   0.0386268	   0.0188232	  -0.0020546	   3.1743434	   2.7430009
   0.8411508	   0.0557603	   0.0001828	   0.0380734	   0.0110768	  -0.0020819	   3.1743434	   2.7430009
   0.8421855	   0.0559571	   0.0001254	   0.0373342	   0.0032642	  -0.0021019	   3.1743434	   2.7430009
   0.8431974	   0.0559390	   0.0000675	   0.0364190	  -0.0045907	  -0.0021146	   3.1743434	   2.7430009
   0.8441819	   0.0557051	   0.0000094	   0.0353391	  -0.0124637	  -0.0021197	   3.1743434	   2.7430009
   0.8451347	   0.0552553	  -0.0000487	   0.0341071	  -0.0203303	  -0.0021171	   3.1743434	   2.7430009
   0.8460517	   0.0545900	  -0.0001066	   0.0327372	  -0.0281657	  -0.0021065	   3.1743434	   2.7430009
   0.8469295	   0.0537106	  -0.0001642	   0.0312447	  -0.0359446	  -0.0020877	   3.1743434	   2.7430009
   0.8477649	   0.0526189	  -0.0002211	   0.0296462	  -0.0436412	  -0.0020605	   3.1743434	   2.7430009
   0.8485551	   0.0513175	  -0.0002771	   0.0279591	  -0.0512287	  -0.0020249	   3.1743434	   2.7430009
   0.8492981	   0.0498097	  -0.0003321	   0.0262018	  -0.0586797	  -0.0019806	   3.1743434	   2.7430009
   0.8499921	   0.0480998	  -0.0003857	   0.0243931	  -0.0659656	  -0.0019275	   3.1743434	   2.7430009
   0.8506360	   0.0461926	  -0.0004378	   0.0225523	  -0.0730568	  -0.0018655	   3.1743434	   2.7430009
   0.8512291	   0.0440940	  -0.0004880	   0.0206982	  -0.0799225	  -0.0017945	   3.1743434	   2.7430009
   0.8517715	   0.0418104	  -0.0005361	   0.0188494	  -0.0865306	  -0.0017146	   3.1743433	   2.7430009
   0.8522634	   0.0393495	  -0.0005820	   0.0170235	  -0.0928480	  -0.0016258	   3.1743433	   2.7430009
   0.8527058	   0.0367197	  -0.0006252	   0.0152366	  -0.0988405	  -0.0015282	   3.1743433	   2.7430009
   0.8530998	   0.0339304	  -0.0006657	   0.0135027	  -0.1044731	  -0.0014219	   3.1743433	   2.7430009
   0.8534471	   0.0309920	  -0.0007032	   0.0118337	  -0.1097103	  -0.0013073	   3.1743433	   2.7430009
   0.8537497	   0.0279157	  -0.0007374	   0.0102383	  -0.1145168	  -0.0011848	   3.1743433	   2.7430009
   0.8540095	   0.0247138	  -0.0007681	   0.0087218	  -0.1188577	  -0.0010548	   3.1743433	   2.7430009
   0.8542289	   0.0213997	  -0.0007952	   0.0072860	  -0.1226995	  -0.0009179	   3.1743433	   2.7430009
   0.8544100	   0.0179874	  -0.0008184	   0.0059289	  -0.1260107	  -0.0007750	   3.1743433	   2.7430009
   0.8545548	   0.0144918	  -0.0008376	   0.0046445	  -0.1287628	  -0.0006267	   3.1743433	   2.7430009
   0.8546654	   0.0109288	  -0.0008527	   0.0034234	  -0.1309308	  -0.0004740	   3.1743434	   2.7430009
   0.8547431	   0.0073145	  -0.0008636	   0.0022528	  -0.1324946	  -0.0003179	   3.1743434	   2.7430009
   0.8547893	   0.0036658	  -0.0008702	   0.0011175	  -0.1334390	  -0.0001595	   3.1743434	   2.7430009
   0.8548046	  -0.0000002	  -0.0008723	   0.0000003	  -0.1337548	   0.0000000	   3.1743434	   2.7430009
   0.8547893	  -0.0036662	  -0.0008702	  -0.0011169	  -0.1334388	   0.0001595	   3.1743434	   2.7430009
   0.8547431	  -0.0073149	  -0.0008636	  -0.0022523	  -0.1324943	   0.0003179	   3.1743434	   2.7430009
   0.8546654	  -0.0109292	  -0.0008527	  -0.0034229	  -0.1309304	   0.0004740	   3.1743434	   2.7430009
   0.8545549	  -0.0144922	  -0.0008376	  -0.0046440	  -0.1287623	   0.0006267	   3.1743434	   2.7430009
   0.8544101	  -0.0179877	  -0.0008184	  -0.0059284	  -0.1260102	   0.0007750	   3.1743434	   2.7430009
   0.8542290	  -0.0214000	  -0.0007952	  -0.0072855	  -0.1226989	   0.0009180	   3.1743434	   2.7430009
   0.8540096	  -0.0247142	  -0.0007681	  -0.0087213	  -0.1188571	   0.0010548	   3.1743434	   2.7430009
   0.8537498	  -0.0279160	  -0.0007374	  -0.0102377	  -0.1145162	   0.0011848	   3.1743434	   2.7430009
   0.8534473	  -0.0309923	  -0.0007032	  -0.0118331	  -0.1097097	   0.0013073	   3.1743434	   2.7430009
   0.8531000	  -0.0339307	  -0.0006657	  -0.0135021	  -0.1044725	   0.0014219	   3.1743434	   2.7430009
   0.8527060	  -0.0367200	  -0.0006252	  -0.0152358	  -0.0988399	   0.0015282	   3.1743434	   2.7430009
   0.8522636	  -0.0393498	  -0.0005820	  -0.0170227	  -0.0928475	   0.0016258	   3.1743434	   2.7430009
   0.8517717	  -0.0418106	  -0.0005361	  -0.0188485	  -0.0865302	   0.0017146	   3.1743434	   2.7430009
   0.8512294	  -0.0440942	  -0.0004880	  -0.0206972	  -0.0799221	   0.0017945	   3.1743434	   2.7430009
   0.8506362	  -0.0461928	  -0.0004378	  -0.0225512	  -0.0730565	   0.0018655	   3.1743434	   2.7430009
   0.8499924	  -0.0481000	  -0.0003857	  -0.0243919	  -0.0659653	   0.0019275	   3.1743434	   2.7430009
   0.8492984	  -0.0498099	  -0.0003321	  -0.0262005	  -0.0586795	   0.0019806	   3.1743434	   2.7430009
   0.8485555	  -0.0513176	  -0.0002771	  -0.0279577	  -0.0512285	   0.0020249	   3.1743434	   2.7430009
   0.8477653	  -0.0526191	  -0.0002211	  -0.0296446	  -0.0436410	   0.0020605	   3.1743434	   2.7430009
   0.8469300	  -0.0537108	  -0.0001642	  -0.0312430	  -0.0359445	   0.0020877	   3.1743434	   2.7430009
   0.8460523	  -0.0545902	  -0.0001066	  -0.0327354	  -0.0281656	   0.0021065	   3.1743434	   2.7430009
   0.8451352	  -0.0552554	  -0.0000487	  -0.0341052	  -0.0203303	   0.0021171	   3.1743434	   2.7430009
   0.8441825	  -0.0557053	   0.0000094	  -0.0353370	  -0.0124637	   0.0021197	   3.1743434	   2.7430009
   0.8431980	  -0.0559391	   0.0000675	  -0.0364168	  -0.0045908	   0.0021146	   3.1743434	   2.7430009
   0.8421862	  -0.0559573	   0.0001254	  -0.0373319	   0.0032641	   0.0021019	   3.1743434	   2.7430009
   0.8411516	  -0.0557605	   0.0001828	  -0.0380709	   0.0110766	   0.0020819	   3.1743434	   2.7430009
   0.8400993	  -0.0553502	   0.0002395	  -0.0386241	   0.0188229	   0.0020546	   3.1743434	   2.7430009
   0.8390345	  -0.0547287	   0.0002954	  -0.0389832	   0.0264790	   0.0020204	   3.1743434	   2.7430009
   0.8379625	  -0.0538986	   0.0003503	  -0.0391414	   0.0340210	   0.0019795	   3.1743434	   2.7430009
   0.8368891	  -0.0528635	   0.0004040	  -0.0390935	   0.0414249	   0.0019320	   3.1743434	   2.7430009
   0.8358198	  -0.0516275	   0.0004562	  -0.0388358	   0.0486671	   0.0018782	   3.1743434	   2.7430009
   0.8347605	  -0.0501953	   0.0005069	  -0.0383661	   0.0557237	   0.0018183	   3.1743434	   2.7430009
   0.8337170	  -0.0485724	   0.0005559	  -0.0376840	   0.0625710	   0.0017525	   3.1743434	   2.7430009
   0.8326951	  -0.0467648	   0.0006030	  -0.0367903	   0.0691852	   0.0016810	   3.1743434	   2.7430009
   0.8317006	  -0.0447793	   0.0006481	  -0.0356874	   0.0755431	   0.0016042	   3.1743434	   2.7430009
   0.8307391	  -0.0426231	   0.0006910	  -0.0343792	   0.0816215	   0.0015221	   3.1743434	   2.7430009
   0.8298164	  -0.0403043	   0.0007316	  -0.0328713	   0.0873978	   0.0014352	   3.1743434	   2.7430009
   0.8289376	  -0.0378314	   0.0007697	  -0.0311705	   0.0928496	   0.0013436	   3.1743434	   2.7430009
   0.8281080	  -0.0352137	   0.0008052	  -0.0292850	   0.0979556	   0.0012477	   3.1743434	   2.7430009
   0.8273326	  -0.0324609	   0.0008381	  -0.0272247	   0.1026952	   0.0011477	   3.1743434	   2.7430009
   0.8266160	  -0.0295834	   0.0008682	  -0.0250004	   0.1070488	   0.0010440	   3.1743434	   2.7430009
   0.8259625	  -0.0265919	   0.0008953	  -0.0226245	   0.1109978	   0.0009369	   3.1743434	   2.7430009
   0.8253761	  -0.0234979	   0.0009195	  -0.0201106	   0.1145252	   0.0008267	   3.1743434	   2.7430009
   0.8248603	  -0.0203130	   0.0009407	  -0.0174731	   0.1176155	   0.0007137	   3.1743434	   2.7430009
   0.8244185	  -0.0170496	   0.0009587	  -0.0147278	   0.1202548	   0.0005984	   3.1743434	   2.7430009
   0.8240532	  -0.0137201	   0.0009735	  -0.0118911	   0.1224310	   0.0004812	   3.1743434	   2.7430009
   0.8237668	  -0.0103374	   0.0009850	  -0.0089803	   0.1241342	   0.0003623	   3.1743435	   2.7430009
   0.8235611	  -0.0069145	   0.0009933	  -0.0060134	   0.1253563	   0.0002422	   3.1743435	   2.7430009
   0.8234373	  -0.0034648	   0.0009983	  -0.0030088	   0.1260916	   0.0001213	   3.1743435	   2.7430009
   0.8233962	  -0.0000016	   0.0010000	   0.0000148	   0.1263366	  -0.0000001	   3.1743435	   2.7430009


   0.8233906	   0.0000000	   0.0020000	   0.0000000	   0.1263931	   0.0000000	   3.1743175	   2.7430215
   0.8234320	   0.0034647	   0.0019967	   0.0030234	   0.1261474	  -0.0002426	   3.1743175	   2.7430215
   0.8235562	   0.0069160	   0.0019867	   0.0060280	   0.1254113	  -0.0004844	   3.1743175	   2.7430215
   0.8237624	   0.0103404	   0.0019701	   0.0089949	   0.1241883	  -0.0007245	   3.1743175	   2.7430215
