         # x	           y	           z	          vx	          vy	          vz	           C
   0.8234000	   0.0000000	   0.0000000	   0.0000000	   0.1262315	   0.0000000	   3.1743734
   0.8234105	   0.0017396	   0.0000000	   0.0015185	   0.1261695	   0.0000000	   3.1743734
   0.8234419	   0.0034775	   0.0000000	   0.0030346	   0.1259835	   0.0000000	   3.1743734
   0.8234941	   0.0052120	   0.0000000	   0.0045459	   0.1256739	   0.0000000	   3.1743734
   0.8235672	   0.0069414	   0.0000000	   0.0060500	   0.1252409	   0.0000000	   3.1743734
   0.8236609	   0.0086640	   0.0000000	   0.0075445	   0.1246850	   0.0000000	   3.1743734
   0.8237751	   0.0103780	   0.0000000	   0.0090272	   0.1240071	   0.0000000	   3.1743734
   0.8239096	   0.0120819	   0.0000000	   0.0104956	   0.1232077	   0.0000000	   3.1743734
   0.8240643	   0.0137740	   0.0000000	   0.0119475	   0.1222879	   0.0000000	   3.1743734
   0.8242389	   0.0154525	   0.0000000	   0.0133807	   0.1212488	   0.0000000	   3.1743734
   0.8244331	   0.0171159	   0.0000000	   0.0147929	   0.1200916	   0.0000000	   3.1743734
   0.8246466	   0.0187625	   0.0000000	   0.0161819	   0.1188176	   0.0000000	   3.1743734
   0.8248791	   0.0203908	   0.0000000	   0.0175456	   0.1174283	   0.0000000	   3.1743734
   0.8251302	   0.0219991	   0.0000000	   0.0188820	   0.1159252	   0.0000000	   3.1743734
   0.8253995	   0.0235860	   0.0000000	   0.0201891	   0.1143102	   0.0000000	   3.1743734
   0.8256866	   0.0251498	   0.0000000	   0.0214649	   0.1125850	   0.0000000	   3.1743734
   0.8259910	   0.0266891	   0.0000000	   0.0227075	   0.1107515	   0.0000000	   3.1743734
   0.8263124	   0.0282024	   0.0000000	   0.0239152	   0.1088119	   0.0000000	   3.1743734
   0.8266501	   0.0296882	   0.0000000	   0.0250861	   0.1067681	   0.0000000	   3.1743734
   0.8270038	   0.0311452	   0.0000000	   0.0262186	   0.1046225	   0.0000000	   3.1743734
   0.8273727	   0.0325719	   0.0000000	   0.0273111	   0.1023773	   0.0000000	   3.1743734
   0.8277565	   0.0339670	   0.0000000	   0.0283621	   0.1000349	   0.0000000	   3.1743734
   0.8281544	   0.0353291	   0.0000000	   0.0293702	   0.0975978	   0.0000000	   3.1743734
   0.8285659	   0.0366570	   0.0000000	   0.0303341	   0.0950685	   0.0000000	   3.1743734
   0.8289904	   0.0379495	   0.0000000	   0.0312523	   0.0924497	   0.0000000	   3.1743734
   0.8294272	   0.0392052	   0.0000000	   0.0321239	   0.0897439	   0.0000000	   3.1743734
   0.8298757	   0.0404230	   0.0000000	   0.0329476	   0.0869538	   0.0000000	   3.1743734
   0.8303353	   0.0416019	   0.0000000	   0.0337226	   0.0840823	   0.0000000	   3.1743734
   0.8308051	   0.0427406	   0.0000000	   0.0344478	   0.0811320	   0.0000000	   3.1743734
   0.8312846	   0.0438381	   0.0000000	   0.0351226	   0.0781060	   0.0000000	   3.1743734
   0.8317731	   0.0448934	   0.0000000	   0.0357460	   0.0750069	   0.0000000	   3.1743734
   0.8322698	   0.0459055	   0.0000000	   0.0363177	   0.0718377	   0.0000000	   3.1743734
   0.8327740	   0.0468734	   0.0000000	   0.0368369	   0.0686014	   0.0000000	   3.1743734
   0.8332850	   0.0477963	   0.0000000	   0.0373032	   0.0653009	   0.0000000	   3.1743734
   0.8338021	   0.0486733	   0.0000000	   0.0377164	   0.0619391	   0.0000000	   3.1743734
   0.8343245	   0.0495035	   0.0000000	   0.0380762	   0.0585190	   0.0000000	   3.1743734
   0.8348515	   0.0502862	   0.0000000	   0.0383824	   0.0550437	   0.0000000	   3.1743734
   0.8353823	   0.0510207	   0.0000000	   0.0386349	   0.0515161	   0.0000000	   3.1743734
   0.8359163	   0.0517061	   0.0000000	   0.0388339	   0.0479392	   0.0000000	   3.1743734
   0.8364527	   0.0523420	   0.0000000	   0.0389794	   0.0443160	   0.0000000	   3.1743734
   0.8369906	   0.0529276	   0.0000000	   0.0390718	   0.0406496	   0.0000000	   3.1743734
   0.8375295	   0.0534624	   0.0000000	   0.0391112	   0.0369430	   0.0000000	   3.1743734
   0.8380685	   0.0539458	   0.0000000	   0.0390983	   0.0331992	   0.0000000	   3.1743734
   0.8386071	   0.0543774	   0.0000000	   0.0390335	   0.0294213	   0.0000000	   3.1743734
   0.8391443	   0.0547567	   0.0000000	   0.0389174	   0.0256121	   0.0000000	   3.1743734
   0.8396797	   0.0550833	   0.0000000	   0.0387508	   0.0217749	   0.0000000	   3.1743734
   0.8402123	   0.0553569	   0.0000000	   0.0385345	   0.0179126	   0.0000000	   3.1743734
   0.8407418	   0.0555770	   0.0000000	   0.0382695	   0.0140282	   0.0000000	   3.1743734
   0.8412671	   0.0557435	   0.0000000	   0.0379567	   0.0101248	   0.0000000	   3.1743734
   0.8417879	   0.0558561	   0.0000000	   0.0375973	   0.0062054	   0.0000000	   3.1743734
   0.8423033	   0.0559145	   0.0000000	   0.0371925	   0.0022730	   0.0000000	   3.1743734
   0.8428130	   0.0559187	   0.0000000	   0.0367436	  -0.0016692	   0.0000000	   3.1743734
   0.8433161	   0.0558685	   0.0000000	   0.0362521	  -0.0056182	   0.0000000	   3.1743734
   0.8438121	   0.0557638	   0.0000000	   0.0357194	  -0.0095711	   0.0000000	   3.1743734
   0.8443006	   0.0556046	   0.0000000	   0.0351471	  -0.0135245	   0.0000000	   3.1743734
   0.8447809	   0.0553910	   0.0000000	   0.0345369	  -0.0174755	   0.0000000	   3.1743734
   0.8452525	   0.0551229	   0.0000000	   0.0338906	  -0.0214209	   0.0000000	   3.1743734
   0.8457149	   0.0548005	   0.0000000	   0.0332100	  -0.0253575	   0.0000000	   3.1743734
   0.8461678	   0.0544239	   0.0000000	   0.0324970	  -0.0292822	   0.0000000	   3.1743734
   0.8466107	   0.0539934	   0.0000000	   0.0317537	  -0.0331916	   0.0000000	   3.1743734
   0.8470430	   0.0535090	   0.0000000	   0.0309821	  -0.0370826	   0.0000000	   3.1743734
   0.8474646	   0.0529712	   0.0000000	   0.0301844	  -0.0409518	   0.0000000	   3.1743734
   0.8478750	   0.0523802	   0.0000000	   0.0293629	  -0.0447958	   0.0000000	   3.1743734
   0.8482739	   0.0517365	   0.0000000	   0.0285196	  -0.0486112	   0.0000000	   3.1743734
   0.8486611	   0.0510403	   0.0000000	   0.0276571	  -0.0523946	   0.0000000	   3.1743734
   0.8490363	   0.0502923	   0.0000000	   0.0267776	  -0.0561424	   0.0000000	   3.1743734
   0.8493993	   0.0494928	   0.0000000	   0.0258835	  -0.0598510	   0.0000000	   3.1743734
   0.8497498	   0.0486425	   0.0000000	   0.0249773	  -0.0635166	   0.0000000	   3.1743734
   0.8500878	   0.0477421	   0.0000000	   0.0240614	  -0.0671357	   0.0000000	   3.1743734
   0.8504130	   0.0467920	   0.0000000	   0.0231381	  -0.0707043	   0.0000000	   3.1743734
   0.8507256	   0.0457932	   0.0000000	   0.0222099	  -0.0742186	   0.0000000	   3.1743734
   0.8510253	   0.0447463	   0.0000000	   0.0212792	  -0.0776745	   0.0000000	   3.1743734
   0.8513122	   0.0436522	   0.0000000	   0.0203485	  -0.0810681	   0.0000000	   3.1743734
   0.8515862	   0.0425118	   0.0000000	   0.0194198	  -0.0843952	   0.0000000	   3.1743734
   0.8518475	   0.0413261	   0.0000000	   0.0184956	  -0.0876517	   0.0000000	   3.1743734
   0.8520961	   0.0400959	   0.0000000	   0.0175779	  -0.0908332	   0.0000000	   3.1743734
   0.8523322	   0.0388224	   0.0000000	   0.0166688	  -0.0939354	   0.0000000	   3.1743734
   0.8525557	   0.0375068	   0.0000000	   0.0157703	  -0.0969540	   0.0000000	   3.1743734
   0.8527669	   0.0361501	   0.0000000	   0.0148842	  -0.0998844	   0.0000000	   3.1743734
   0.8529661	   0.0347537	   0.0000000	   0.0140122	  -0.1027224	   0.0000000	   3.1743734
   0.8531533	   0.0333188	   0.0000000	   0.0131556	  -0.1054632	   0.0000000	   3.1743734
   0.8533288	   0.0318468	   0.0000000	   0.0123160	  -0.1081026	   0.0000000	   3.1743734
   0.8534929	   0.0303392	   0.0000000	   0.0114943	  -0.1106359	   0.0000000	   3.1743734
   0.8536458	   0.0287975	   0.0000000	   0.0106916	  -0.1130586	   0.0000000	   3.1743734
   0.8537877	   0.0272231	   0.0000000	   0.0099085	  -0.1153664	   0.0000000	   3.1743734
   0.8539190	   0.0256177	   0.0000000	   0.0091456	  -0.1175550	   0.0000000	   3.1743734
   0.8540399	   0.0239830	   0.0000000	   0.0084030	  -0.1196199	   0.0000000	   3.1743734
   0.8541508	   0.0223207	   0.0000000	   0.0076807	  -0.1215572	   0.0000000	   3.1743734
   0.8542517	   0.0206327	   0.0000000	   0.0069786	  -0.1233628	   0.0000000	   3.1743734
   0.8543432	   0.0189206	   0.0000000	   0.0062960	  -0.1250327	   0.0000000	   3.1743734
   0.8544254	   0.0171865	   0.0000000	   0.0056324	  -0.1265635	   0.0000000	   3.1743734
   0.8544986	   0.0154323	   0.0000000	   0.0049867	  -0.1279517	   0.0000000	   3.1743734
   0.8545629	   0.0136600	   0.0000000	   0.0043576	  -0.1291942	   0.0000000	   3.1743734
   0.8546188	   0.0118715	   0.0000000	   0.0037439	  -0.1302879	   0.0000000	   3.1743734
   0.8546662	   0.0100690	   0.0000000	   0.0031439	  -0.1312304	   0.0000000	   3.1743734
   0.8547055	   0.0082546	   0.0000000	   0.0025558	  -0.1320194	   0.0000000	   3.1743734
   0.8547367	   0.0064304	   0.0000000	   0.0019777	  -0.1326529	   0.0000000	   3.1743734
   0.8547601	   0.0045985	   0.0000000	   0.0014075	  -0.1331295	   0.0000000	   3.1743734
