          # hardware              workers      envs_per_worker         eval_workers            eval_epis           cpus_per_w           gpus_per_w           cpus_per_d           gpus_per_d              time[s]
            cpu_only                    1                  100                    1                    1              7.00000              0.00000              2.00000              0.00000            101.00290
            cpu_only                    2                   50                    1                    1              5.00000              0.00000              1.00000              0.00000             56.22056
            cpu_only                    4                   25                    2                    2              2.00000              0.00000              4.00000              0.00000             26.77697
            cpu_only                    5                   20                    2                    2              2.00000              0.00000              2.00000              0.00000             25.86147
            cpu_only                   10                   10                    5                    5              1.00000              0.00000              1.00000              0.00000             18.48884
            cpu_only                   20                    5                   10                   10              0.50000              0.00000              1.00000              0.00000             19.26024
            cpu_only                   25                    4                   12                   12              0.40541              0.00000              1.00000              0.00000             22.00458
            cpu_only                   50                    2                   25                   25              0.20000              0.00000              1.00000              0.00000             29.92239
         gpu_d_cpu_w                    1                  100                    1                    1              8.00000              0.00000              0.00000              1.00000            109.52913
         gpu_d_cpu_w                    2                   50                    1                    1              5.00000              0.00000              1.00000              1.00000             61.91516
         gpu_d_cpu_w                    4                   25                    2                    2              2.00000              0.00000              4.00000              1.00000             33.43611
         gpu_d_cpu_w                    5                   20                    2                    2              2.00000              0.00000              2.00000              1.00000             28.82512
         gpu_d_cpu_w                   10                   10                    5                    5              1.00000              0.00000              1.00000              1.00000             20.68275
         gpu_d_cpu_w                   20                    5                   10                   10              0.53333              0.00000              0.00000              1.00000             20.90141
         gpu_d_cpu_w                   25                    4                   12                   12              0.43243              0.00000              0.00000              1.00000             19.36387
         gpu_d_cpu_w                   50                    2                   25                   25              0.21333              0.00000              0.00000              1.00000             30.92989
