          # hardware              workers      envs_per_worker           cpus_per_w           gpus_per_w           cpus_per_d           gpus_per_d              time[s]
            cpu_only                    1                  100             15.00000              0.00000              2.00000              0.00000             86.03565
            cpu_only                    2                   50              7.00000              0.00000              4.00000              0.00000             33.80720
            cpu_only                    4                   25              3.00000              0.00000              8.00000              0.00000             18.95881
            cpu_only                    5                   20              3.00000              0.00000              2.00000              0.00000             15.28273
            cpu_only                   10                   10              1.00000              0.00000             12.00000              0.00000             11.86789
            cpu_only                   20                    5              0.77500              0.00000              1.00000              0.00000              9.91053
            cpu_only                   25                    4              0.62000              0.00000              1.00000              0.00000              9.71319
            cpu_only                   50                    2              0.31000              0.00000              1.00000              0.00000              9.54934
            cpu_only                  100                    1              0.15500              0.00000              1.00000              0.00000             11.87110
         gpu_d_cpu_w                    1                  100             16.00000              0.00000              0.00000              1.00000             66.55891
         gpu_d_cpu_w                    2                   50              8.00000              0.00000              0.00000              1.00000             40.25143
         gpu_d_cpu_w                    4                   25              4.00000              0.00000              0.00000              1.00000             20.67695
         gpu_d_cpu_w                    5                   20              3.00000              0.00000              2.00000              1.00000             14.76952
         gpu_d_cpu_w                   10                   10              1.00000              0.00000             12.00000              1.00000             11.21622
         gpu_d_cpu_w                   20                    5              0.80000              0.00000              0.00000              1.00000              8.48454
         gpu_d_cpu_w                   25                    4              0.64000              0.00000              0.00000              1.00000              7.65381
         gpu_d_cpu_w                   50                    2              0.32000              0.00000              0.00000              1.00000              7.96175
         gpu_d_cpu_w                  100                    1              0.16000              0.00000              0.00000              1.00000             10.15312
